2015/08/23, 2札幌2, 晴, 11, 札幌記念(G2), 芝2000, 15, 良, 1:59.0, 35.1-36.2
2014/08/24, 2札幌2, 晴, 11, 札幌記念(G2), 芝2000, 14, 良, 1:59.1, 34.9-36.3
2013/08/18, 4函館2, 小雨, 11, 札幌記念(G2), 芝2000, 16, 重, 2:06.5, 36.2-39.7
2012/08/19, 2札幌2, 晴, 11, 札幌記念(G2), 芝2000, 14, 良, 1:58.7, 35.0-35.2
2011/08/21, 1札幌4, 晴, 11, 札幌記念(G2), 芝2000, 13, 良, 2:00.4, 35.9-34.7
2010/08/22, 1札幌4, 晴, 9, 札幌記念(G2), 芝2000, 16, 良, 1:59.4, 34.6-35.6
2009/08/23, 2札幌8, 曇, 9, 札幌記念(G2), 芝2000, 16, 良, 2:00.7, 35.6-36.2
2008/08/24, 1札幌4, 曇, 9, 札幌記念(G2), 芝2000, 11, 良, 1:58.6, 34.7-35.8
2007/09/02, 1札幌8, 晴, 9, 札幌記念(G2), 芝2000, 16, 良, 2:00.1, 35.5-34.8
2006/08/20, 1札幌4, 晴, 9, 札幌記念(G2), 芝2000, 15, 良, 2:00.3, 36.0-34.3, 200601010411
2005/08/21, 1札幌4, 雨, 9, 札幌記念(G2), 芝2000, 14, 良, 2:01.1, 36.2-36.7, 200501010411
2004/08/22, 1札幌4, 晴, 9, 札幌記念(G2), 芝2000, 11, 良, 2:00.4, 35.6-36.1, 200401010411
2003/08/24, 1札幌4, 曇, 11, 札幌記念(G2), 芝2000, 9, 良, 2:00.3, 36.5-35.1, 200301010411
2002/08/18, 1札幌4, 晴, 11, 札幌記念(G2), 芝2000, 16, 良, 1:59.5, 34.8-35.4, 200201010411
2001/08/19, 1札幌6, 晴, 11, 札幌記念(G2), 芝2000, 9, 良, 2:00.1, 35.7-34.7, 200101010611
2000/08/20, 1札幌6, 晴, 11, 札幌記念(G2), 芝2000, 14, 良, 1:59.9, 35.8-35.6, 200001010611
1999/08/22, 1札幌6, 曇, 11, 札幌記念(G2), 芝2000, 10, 良, 2:00.1, 35.5-36.0, 199901010611
1998/08/23, 1札幌6, 晴, 11, 札幌記念(G2), 芝2000, 12, 良, 1:59.5, 35.3-35.9, 199801010611
1997/08/17, 1札幌6, 曇, 11, 札幌記念(G2), 芝2000, 13, 良, 2:00.2, 35.1-36.1, 199701010611
1996/06/30, 1札幌8, 曇, 11, 札幌記念(G3), 芝2000, 14, 稍, 2:01.6, 35.4-35.9, 199601010811
